Datos de series

Total Nacional. Todas las edades. Total. Población. Número. 
Serie,ECP320
Periodicidad,Trimestral
Unidad,Personas
DATOS
PERIODO,VALOR,TIPO DATO,NOTA
2024T1,48.592.909,Provisional,
2023T4,48.507.039,Provisional,
2023T3,48.373.336,Provisional,
2023T2,48.233.001,Provisional,
2023T1,48.085.361,Definitivo,
2022T4,47.940.295,Definitivo,
2022T3,47.781.354,Definitivo,
2022T2,47.609.145,Definitivo,
2022T1,47.486.727,Definitivo,
2021T4,47.424.595,Definitivo,
2021T3,47.346.836,Definitivo,
2021T2,47.356.065,Definitivo,
2021T1,47.400.798,Definitivo,
2020T3,47.344.852,Definitivo,
2020T1,47.318.050,Definitivo,
2019T3,47.087.778,Definitivo,
2019T1,46.918.951,Definitivo,
2018T3,46.715.383,Definitivo,
2018T1,46.645.070,Definitivo,
2017T3,46.510.461,Definitivo,
2017T1,46.497.393,Definitivo,
2016T3,46.427.100,Definitivo,
2016T1,46.418.884,Definitivo,
2015T3,46.384.379,Definitivo,
2015T1,46.425.722,Definitivo,
2014T3,46.433.050,Definitivo,
2014T1,46.495.744,Definitivo,
2013T3,46.581.124,Definitivo,
2013T1,46.712.650,Definitivo,
2012T3,46.749.303,Definitivo,
2012T1,46.818.216,Definitivo,
2011T3,46.736.257,Definitivo,
2011T1,46.667.175,Definitivo,
2010T3,46.562.483,Definitivo,
2010T1,46.486.621,Definitivo,
2009T3,46.367.550,Definitivo,
2009T1,46.239.271,Definitivo,
2008T3,45.983.169,Definitivo,
2008T1,45.668.938,Definitivo,
2007T3,45.236.004,Definitivo,
2007T1,44.784.659,Definitivo,
2006T3,44.360.521,Definitivo,
2006T1,44.009.969,Definitivo,
2005T3,43.662.613,Definitivo,
2005T1,43.296.335,Definitivo,
2004T3,42.859.172,Definitivo,
2004T1,42.547.454,Definitivo,
2003T3,42.196.231,Definitivo,
2003T1,41.827.836,Definitivo,
2002T3,41.423.520,Definitivo,
2002T1,41.035.271,Definitivo,
2001T3,40.766.049,Definitivo,
2001T1,40.665.545,Definitivo,
2000T3,40.554.387,Definitivo,
2000T1,40.470.182,Definitivo,
1999T3,40.369.667,Definitivo,
1999T1,40.303.568,Definitivo,
1998T3,40.214.066,Definitivo,
1998T1,40.143.449,Definitivo,
1997T3,40.049.974,Definitivo,
1997T1,39.971.329,Definitivo,
1996T3,39.884.246,Definitivo,
1996T1,39.808.374,Definitivo,
1995T3,39.718.895,Definitivo,
1995T1,39.639.726,Definitivo,
1994T3,39.547.353,Definitivo,
1994T1,39.458.489,Definitivo,
1993T3,39.356.082,Definitivo,
1993T1,39.264.034,Definitivo,
1992T3,39.147.940,Definitivo,
1992T1,39.051.336,Definitivo,
1991T3,38.941.622,Definitivo,
1991T1,38.881.416,Definitivo,
1990T3,38.860.827,Definitivo,
1990T1,38.853.227,Definitivo,
1989T3,38.821.377,Definitivo,
1989T1,38.802.300,Definitivo,
1988T3,38.764.307,Definitivo,
1988T1,38.731.578,Definitivo,
1987T3,38.682.322,Definitivo,
1987T1,38.638.052,Definitivo,
1986T3,38.571.941,Definitivo,
1986T1,38.531.195,Definitivo,
1985T3,38.467.025,Definitivo,
1985T1,38.407.829,Definitivo,
1984T3,38.325.244,Definitivo,
1984T1,38.252.899,Definitivo,
1983T3,38.160.263,Definitivo,
1983T1,38.090.151,Definitivo,
1982T3,37.987.108,Definitivo,
1982T1,37.881.873,Definitivo,
1981T3,37.764.458,Definitivo,
1981T1,37.635.389,Definitivo,
1980T3,37.493.072,Definitivo,
1980T1,37.346.940,Definitivo,
1979T3,37.194.315,Definitivo,
1979T1,37.035.719,Definitivo,
1978T3,36.868.100,Definitivo,
1978T1,36.694.077,Definitivo,
1977T3,36.506.811,Definitivo,
1977T1,36.329.199,Definitivo,
1976T3,36.127.525,Definitivo,
1976T1,35.946.425,Definitivo,
1975T3,35.750.033,Definitivo,
1975T1,35.569.375,Definitivo,
1974T3,35.363.890,Definitivo,
1974T1,35.177.294,Definitivo,
1973T3,34.980.317,Definitivo,
1973T1,34.800.600,Definitivo,
1972T3,34.595.886,Definitivo,
1972T1,34.408.338,Definitivo,
1971T3,34.216.856,Definitivo,
1971T1,34.040.642,Definitivo,
